ID,CommunityArea,Region,"Infant Mortality (per 100,000 Residents)",Child Uninsurance Rate (%),"Vaccine-Preventable Diseases Reported, 2000-2014",Overweight or Obese CPS students (%),"Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Chlamydia Prevalence, 15-19 Year Old Females (%)","Children with Elevated Lead Blood Levels, 2014 (%)","Life Expectancy at Birth, 2010","Annual Years of Potential Life Lost (per 100,000 residents)",Obesity Prevalence Estimate (%),"Stroke Mortality (per 100,000 Residents)","CHD Mortality (per 100,000 Residents)","Heart Disease Mortality (per 100,000 Residents)","Cancer Mortality (per 100,000 Residents)","Lung Cancer Mortality (per 100,000 Residents)","Breast Cancer Mortality (per 100,000 Residents)","Cervical Cancer Mortality (per 100,000 Residents)","Colorectal Cancer Mortality (per 100,000 Residents)","Prostate Cancer Mortality (per 100,000 Residents)","Diabetes Related Mortality (per 100,000 Residents)","Alzheimers Mortality (per 100,000 Residents)","HIV Mortality (per 100,000 Residents)","Accidents Mortality (per 100,000 Residents)","Homicides Mortality (per 100,000 Residents)","Firearm Related Mortality (per 100,000 Residents)","Motor Vehicle Mortality (per 100,000 Residents)","Suicides Mortality (per 100,000 Residents)","Drug Induced Mortality (per 100,000 Residents)","Alchohol Induced Mortality (per 100,000 Residents)","Asthma Mortality (per 100,000 Residents)","Pulmonary Disease Mortality (per 100,000 Residents)","Diet-Related Mortality (per 100,000 Residents)",Hardship Index 2012,Educational Opportunity Index,"Child Opportunity Index, 2014",Race-Ethnicity Diversity Index,Income Diversity Index,Population,"Change in Population, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012",2010 Socioeconomic Index,"Socioeconomic Index Change, 2000-2010",Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Foreign-Born (%),Not US Citizen (%),Disabled (%),Limited English Proficiency (%),Age <5 (%),Age <18 (%),Age 65+ (%),Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Median HH Income ($),Per Capita Income ($),Unemployment (%),Households Receiving SNAP Benefits (%),Households in Poverty (%),Children Living in Poverty (%),Food Insecure (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),Median Home Value ($),"Change in Median Home Value, 2006-2012 (%)",Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Income Spent on Housing (%),"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)",No Car Ownership (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014","Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",Private Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%)
11,Jefferson Park ,1,7.6,0.59,10,37.6,16.4,6.7,78.7,14.90,1.75,79.7,6934,19.9,39.9,136,197.1,198.6,49.1,22.5,1.3,20.7,34.4,48,17.1,0,26.8,6.7,6.7,3.5,12.8,10.4,4.7,1,25.3,313.4,25,0.113,0.221,0.506,0.659,26771,57,239,7,0,19.96,67.52,1.38,9.41,28.48,12.81,9.61,19.56,6.53,21.68,13.84,28.14,14.30,22.05,13.71,29.95,19.19,59304,27210,12.40,5.44,8.60,8.80,9.76,13.44,86.56,29.30,56.15,,293467,-45.3,9.21,65.72,34.28,7.43,46.00,20.89,11.67,0.12,2.21,0.96,29.65,1.3,1.5,14.52,2.15,0.38,82.89,14.14,0.04,2.53,18.86,1.61,0,20.04,4.43,10.21,68.55,16.29,16.64,52.33
12,Forest Glen ,1,2.5,0.11,10,29.9,8.3,6.1,81.1,14.55,1.87,83.4,3783,13.2,27.3,93.7,142.3,144.4,25.9,18.2,1.6,16.8,18.3,31.7,11.3,0.9,22.7,0.7,0.7,4.3,4.3,3.4,0.7,0.9,21.2,230,11,0.642,0.595,0.431,0.631,18542,-9,-101,9,-2,12.99,72.02,1.62,12.13,18.28,3.18,10.23,9.61,6.43,23.93,16.57,31.94,7.93,11.43,11.28,34.14,18.48,90329,43158,6.80,4.05,7.51,8.14,7.33,4.90,95.10,56.44,20.46,,428625,-21.8,4.78,87.80,12.20,5.33,38.97,24.04,13.66,0.00,0.46,0.32,25.72,0.7,0.4,7.01,3.65,0.58,81.48,13.98,0.05,3.4,10.00,0.43,0,1.99,0.00,3.09,83.18,5.33,6.09,22.14
13,North Park ,1,8,0.26,10,41.5,9,9,72.2,12.59,3.61,84.4,4673,19.4,22.6,104.7,148.3,143.3,43.3,23.8,0.8,21.7,7.7,55.8,4.5,1.2,13.9,2.1,2.1,3.6,2.9,3.3,2.2,2.1,18,244,33,0.524,0.506,0.642,0.653,18739,-425,124,11,0,18.29,49.94,1.68,27.63,38.81,14.62,10.82,23.06,6.02,22.69,16.33,29.09,13.57,18.54,13.25,32.10,25.43,56659,28700,9.92,10.72,13.21,13.36,10.85,14.37,85.63,42.21,68.94,7.84,329075,-40.7,7.66,52.91,47.09,8.11,48.66,23.91,11.09,0.33,3.33,1.26,32.54,1,1.4,17.76,6.13,0.68,77.12,14.16,0.00,0.5,23.20,2.01,1,14.43,4.12,21.90,64.55,15.21,18.91,39.73
14,Albany Park ,1,2.6,0.53,32,42,45.4,9.3,67.7,35.74,2.91,80.6,4928,24.5,36.1,120.4,171.4,170.5,44.9,16.5,5.8,22.7,17.4,70,10.4,5.1,21.7,4.2,4.2,6.4,6.2,5.2,8.1,2.5,30.9,291.5,53,-0.108,0.119,0.630,0.636,53897,-1623,898,-3,-2,52.43,29.40,4.04,12.54,46.10,29.56,8.91,40.16,8.41,24.78,7.24,33.56,17.29,29.95,5.19,38.31,34.28,47436,21058,10.05,16.66,19.19,29.18,11.73,32.87,67.13,26.48,91.65,34.38,266109,-43.5,7.74,36.53,63.47,13.73,62.20,13.60,6.17,0.51,2.45,3.86,38.07,1.5,2.6,24.28,4.76,0.77,59.93,33.82,0.11,0.93,14.71,4.00,6,16.02,3.25,15.17,42.96,31.49,41.83,59.29
15,Portage Park ,4,3.2,0.45,27,44.5,34.4,8.4,76.4,17.48,1.87,80.3,6521,26,34.2,156.5,219.1,156.1,42.1,17.9,1.8,14.7,16.5,46.3,11.2,1.1,25.6,4.5,4.5,6.6,9.4,11,9,1.8,26.3,321.8,35,-0.018,0.148,0.562,0.630,63619,-2182,294,5,-2,41.48,50.97,1.27,4.33,32.22,14.98,10.32,24.99,6.01,23.00,11.03,28.21,24.76,29.38,9.18,33.39,38.26,54754,24372,12.64,12.14,11.63,22.70,11.81,19.31,80.69,22.68,87.18,24.82,278514,-49.2,9.39,56.32,43.68,8.50,49.35,20.33,8.48,0.10,1.69,1.57,33.96,1.5,2,14.19,2.57,1.06,78.52,17.16,0.19,1.61,18.96,2.57,5,13.44,3.41,12.49,58.61,18.29,21.68,47.93
16,Irving Park ,4,5.2,0.87,28,42.9,43,7.7,74.2,14.78,2.00,79.6,5984,25.4,35.1,136.4,198.6,169,39.7,20.8,4.8,20.6,16.8,63.1,16.1,4.9,24.4,5.2,5.2,5.1,7.4,7.4,7.9,2.8,30.8,310.3,34,-0.042,0.109,0.604,0.643,56513,-1461,1895,7,2,45.03,42.87,2.95,7.09,31.87,18.62,10.44,25.28,8.11,23.13,8.51,29.84,20.46,28.17,5.74,33.10,26.39,54517,28790,10.01,10.85,13.07,19.33,11.21,22.39,77.61,32.56,85.57,26.01,320133,-33.3,10.42,48.37,51.63,10.99,57.03,16.77,7.05,0.25,2.00,2.73,34.74,1.4,2.2,17.51,3.68,1.67,70.41,23.19,0.09,1.49,20.20,3.80,6,16.82,3.43,11.68,56.05,23.78,25.85,62.10
17,Dunning ,4,4.1,1.22,17,39.9,20.6,5.6,76.9,10.30,0.86,79.8,6189,20.2,33.6,137.5,195.3,182,45.2,21.9,2.3,22,23.3,46.6,12,1.3,30.8,4.3,4.3,8.3,7.7,12.2,9,2,22.2,304,28,-0.041,0.169,0.449,0.630,42115,223,741,7,0,23.05,71.17,1.01,3.96,35.61,15.68,10.25,24.96,5.08,18.51,15.11,24.93,14.73,22.23,11.06,29.23,38.04,59787,26097,10.03,5.56,10.63,13.55,9.86,16.15,83.85,23.97,64.53,23.40,258445,-50.4,6.22,75.79,24.21,6.00,44.97,24.54,11.27,0.44,1.64,3.27,27.09,1.5,0.8,8.98,2.07,0.20,87.62,8.96,0.12,1.78,11.66,1.79,1,6.31,1.91,7.86,63.38,20.33,24.27,48.69
18,Montclare ,4,3.6,0.48,4,51.3,25.9,6.6,78.6,11.76,4.23,79.6,6449,29.1,39.5,161,216,162,35,33.8,1.6,18.5,27.6,86,7.8,0,28.9,10.2,10.2,6,8,16.2,7.2,5,31,360.9,50,-0.300,-0.039,0.600,0.621,12401,428,27,-1,-6,51.67,38.55,4.23,4.45,35.30,19.67,13.18,28.07,7.48,24.32,14.24,29.51,22.97,28.87,12.61,34.62,33.69,42785,22030,13.79,13.63,15.30,14.86,11.00,23.53,76.47,18.19,89.92,,236850,-55.2,8.73,59.44,40.56,7.50,56.47,15.46,9.49,0.11,2.46,4.47,40.23,2.5,1,17.02,0.95,0.27,83.21,12.61,0.33,1.13,13.93,2.31,1,2.70,0.90,9.60,51.43,22.10,25.39,47.95
19,Belmont Cragin ,4,6.5,0.43,54,47.9,53.9,8.5,67,33.64,2.76,79.5,5783,27.8,31.7,158.5,220.6,154.5,43.8,15.1,2,17.5,25.4,62.6,10.3,1.4,24.4,5.4,5.4,7.3,5.3,8.9,7.5,3.4,23.4,328.4,70,-0.437,-0.172,0.358,0.600,77885,946,405,-5,-6,77.00,15.28,4.91,1.27,38.70,25.70,10.59,40.11,8.31,29.81,7.46,43.42,28.66,41.67,6.41,50.49,40.79,42758,15616,14.64,18.38,18.66,28.92,12.94,37.34,62.66,10.66,95.19,23.83,235159,-60.6,10.68,48.56,51.44,8.13,57.36,20.67,6.64,0.00,1.82,2.36,46.12,2.4,2,15.04,2.73,0.46,81.33,14.62,0.09,0.83,18.66,5.05,28,13.29,1.70,16.70,41.27,27.02,35.12,57.29
20,Hermosa ,4,8.4,0.37,19,47.6,58.3,9.2,64.1,35.96,4.76,80.5,6283,27.8,35.4,124.8,190.8,130.9,24.4,23.1,0.9,15.3,12.9,67.7,6.1,3.5,23.5,10.6,10.6,5.5,1.5,10.5,7,1.4,24.1,295,71,-0.533,-0.165,0.184,0.585,25068,-325,-40,-3,0,90.20,7.87,0.78,0.44,35.44,23.45,12.61,39.53,8.02,29.00,7.44,39.35,28.54,38.75,5.87,47.54,37.31,41398,14956,13.13,22.16,20.48,28.33,12.29,41.62,58.38,7.31,96.78,23.89,271033,-64.6,10.75,43.99,56.01,9.82,53.64,21.94,9.86,0.42,1.87,0.61,51.99,2.2,2.5,18.12,3.25,0.87,75.67,19.44,0.04,1.62,21.55,5.48,19,26.13,5.67,22.04,39.12,26.38,35.96,58.25
