ID,CommunityArea,Region,"Infant Mortality (per 100,000 Residents)",Child Uninsurance Rate (%),"Vaccine-Preventable Diseases Reported, 2000-2014",Overweight or Obese CPS students (%),"Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Chlamydia Prevalence, 15-19 Year Old Females (%)","Children with Elevated Lead Blood Levels, 2014 (%)","Life Expectancy at Birth, 2010","Annual Years of Potential Life Lost (per 100,000 residents)",Obesity Prevalence Estimate (%),"Stroke Mortality (per 100,000 Residents)","CHD Mortality (per 100,000 Residents)","Heart Disease Mortality (per 100,000 Residents)","Cancer Mortality (per 100,000 Residents)","Lung Cancer Mortality (per 100,000 Residents)","Breast Cancer Mortality (per 100,000 Residents)","Cervical Cancer Mortality (per 100,000 Residents)","Colorectal Cancer Mortality (per 100,000 Residents)","Prostate Cancer Mortality (per 100,000 Residents)","Diabetes Related Mortality (per 100,000 Residents)","Alzheimers Mortality (per 100,000 Residents)","HIV Mortality (per 100,000 Residents)","Accidents Mortality (per 100,000 Residents)","Homicides Mortality (per 100,000 Residents)","Firearm Related Mortality (per 100,000 Residents)","Motor Vehicle Mortality (per 100,000 Residents)","Suicides Mortality (per 100,000 Residents)","Drug Induced Mortality (per 100,000 Residents)","Alchohol Induced Mortality (per 100,000 Residents)","Asthma Mortality (per 100,000 Residents)","Pulmonary Disease Mortality (per 100,000 Residents)","Diet-Related Mortality (per 100,000 Residents)",Hardship Index 2012,Educational Opportunity Index,"Child Opportunity Index, 2014",Race-Ethnicity Diversity Index,Income Diversity Index,Population,"Change in Population, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012",2010 Socioeconomic Index,"Socioeconomic Index Change, 2000-2010",Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Foreign-Born (%),Not US Citizen (%),Disabled (%),Limited English Proficiency (%),Age <5 (%),Age <18 (%),Age 65+ (%),Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Median HH Income ($),Per Capita Income ($),Unemployment (%),Households Receiving SNAP Benefits (%),Households in Poverty (%),Children Living in Poverty (%),Food Insecure (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),Median Home Value ($),"Change in Median Home Value, 2006-2012 (%)",Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Income Spent on Housing (%),"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)",No Car Ownership (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014","Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",Private Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%)
21,Avondale ,2,4.7,1.56,32,47.5,66.1,9.6,68.6,31.40,3.64,79.8,5634,27.4,35.1,143.1,215.8,152.2,37.1,14.8,0.5,17.1,34.4,47.6,18.4,1.1,27.4,4.6,4.6,9.3,7.1,7.9,11.7,1.4,24.8,329.6,42,-0.340,-0.065,0.509,0.610,41542,-306,1528,-3,0,65.42,26.50,2.67,3.10,39.83,27.46,7.43,37.62,8.11,23.22,7.78,31.46,26.37,32.22,6.04,36.09,22.75,46405,19833,9.22,12.20,15.28,23.72,10.49,24.67,75.33,21.25,95.47,25.05,301510,-34.2,9.69,41.84,58.16,14.85,52.16,19.50,7.53,0.64,2.67,1.30,38.66,1.4,3.1,17.64,3.66,1.61,68.53,24.94,0.10,0.45,23.61,4.28,6,6.38,1.44,12.87,44.16,32.89,38.17,58.83
22,Logan Square ,2,4.1,1.94,39,45.6,48,8.3,74.4,27.94,3.01,80.3,4989,27.4,33.6,149,212.8,133.9,30.5,11.9,2.5,13.6,9.7,77,14.8,9,25.3,7.1,7.1,4.6,6.2,10,6.9,4.4,29.3,324.1,23,-0.058,0.089,0.594,0.655,73786,-1000,5402,7,12,47.62,41.56,6.38,2.79,21.41,14.24,6.18,22.37,7.09,19.73,6.43,23.71,27.50,36.71,4.32,26.97,24.78,57568,32208,8.18,9.67,16.79,32.36,12.00,14.85,85.15,44.27,89.12,0.00,374052,-26.5,9.99,37.77,62.23,15.67,61.60,11.99,6.03,0.27,2.74,1.42,34.90,1,2.5,22.21,4.20,3.36,58.59,32.58,0.34,1.12,30.41,4.70,20,13.94,2.02,17.13,56.02,23.82,23.92,56.90
23,Humboldt Park ,9,10.5,0.71,39,46.6,72.2,9.6,61.7,84.42,6.70,74.5,11609,27.7,56.1,161.2,250.1,194.9,50,19.5,2.4,20.6,38.3,111.1,13.9,9.2,48,27.2,27.2,7.3,4.1,27.6,7.7,14.9,27.6,426.2,85,-0.103,-0.316,0.552,0.545,54351,-4830,891,-11,0,51.19,5.54,41.73,0.27,17.75,11.77,16.08,18.79,8.95,30.16,7.82,33.77,50.48,62.97,6.31,42.82,45.23,34338,14665,17.27,35.66,33.95,48.41,21.34,35.42,64.58,10.78,93.82,19.90,208987,-78.2,18.08,35.22,64.78,11.47,53.07,16.43,10.58,0.51,2.94,10.28,49.09,2.8,4.6,30.05,4.00,2.20,65.09,24.57,0.04,2.07,30.29,14.61,87,55.08,20.53,34.49,32.74,23.86,30.27,54.30
24,West Town ,9,4.5,0.80,32,44.4,50.6,8,79.9,45.24,2.21,79.5,4999,24.1,35,151.8,211.5,145.9,28.5,21.3,0.7,16.3,17,109.7,16.8,3.5,27.8,6.5,6.5,5.8,8.2,10.9,10.3,6.2,23,359.3,10,0.200,0.396,0.580,0.659,84087,1451,9668,11,8,28.63,57.09,8.45,3.94,16.07,9.23,7.26,13.91,6.22,15.54,6.14,18.11,26.68,34.54,5.15,19.85,16.42,70479,43639,6.56,9.99,14.70,27.13,11.05,12.93,87.07,59.64,79.85,27.59,400232,-28.5,9.76,39.98,60.02,17.44,63.56,9.39,4.66,0.27,2.11,1.02,29.39,0.8,2.3,22.73,7.08,4.21,52.88,33.86,0.47,0.54,44.64,6.19,21,19.37,2.94,22.31,67.89,16.68,16.39,43.89
25,Austin ,9,12.2,0.68,40,42.2,74.8,11.2,62.9,130.53,8.82,71.9,14121,24.5,56.2,157.8,277.1,255.7,69.3,31.7,3.6,30.1,70.4,107.4,18.8,14.8,43,34.8,34.8,10.7,4.6,21,6.3,11.5,31.1,439.4,73,-0.293,-0.414,0.272,0.562,98162,-6956,44,-11,-2,8.92,4.55,85.41,0.36,4.02,2.45,15.86,3.37,6.68,26.91,10.99,29.74,60.19,70.47,7.83,39.32,51.76,32461,15160,22.64,33.66,28.63,40.73,34.57,24.43,75.57,11.08,95.54,28.49,196592,-69.8,16.00,39.53,60.47,12.14,47.38,15.01,11.21,0.40,2.28,3.35,47.86,2.6,3.1,31.61,2.09,0.35,68.06,27.84,0.04,2.21,37.50,16.99,122,64.73,23.21,41.04,36.90,23.02,25.03,56.67
26,West Garfield Park ,9,17.2,0.87,9,37.8,107.4,16.4,64,159.44,9.29,68.8,17868,21.7,63,183.7,319.8,267.3,71.1,51.1,4.9,16.6,80.5,110.5,14.3,17.2,72.9,47.8,47.8,10.7,6.1,40.4,7.9,20.7,34.3,495.7,92,-0.406,-0.748,0.057,0.491,19377,-2047,22,-9,0,1.24,1.41,96.84,0.09,0.25,0.09,16.00,0.13,9.02,35.00,8.63,37.33,76.65,87.48,9.08,49.63,50.87,24957,10757,25.78,42.74,41.67,53.81,44.66,24.51,75.49,7.04,97.82,,194650,,28.74,26.01,73.99,14.88,50.88,10.12,6.79,0.40,2.77,4.87,49.28,3,4.8,43.31,2.35,0.21,55.20,36.75,0.05,2.79,48.16,30.72,43,91.12,50.58,49.87,29.27,19.70,21.15,56.04
27,East Garfield Park ,9,13.3,0.48,14,42.4,84.7,15.1,65.2,178.29,7.85,71.7,15153,22,45.6,166.4,285.4,238.7,57.9,23.1,5.4,27.6,75,112.8,13.6,17.8,47.5,35.2,35.2,14.2,2.8,30,6.1,17,36.3,446.1,83,0.061,-0.290,0.134,0.521,21316,-139,240,-9,1,1.73,3.11,94.03,0.43,2.12,1.09,14.64,0.83,9.04,34.92,8.30,36.89,70.09,79.36,9.99,45.87,35.81,26442,12927,19.60,47.07,42.39,54.88,34.22,21.29,78.71,14.37,90.60,42.64,204225,-88.1,23.16,26.93,73.07,14.65,54.81,15.44,5.39,0.35,1.80,2.89,48.94,2.5,5.5,37.69,5.88,0.40,60.03,31.60,0.00,1.74,50.27,26.06,38,103.91,37.13,66.94,30.52,17.53,21.94,45.60
28,Near West Side ,9,6.9,1.16,27,38.8,45.4,8.8,77.3,84.53,1.98,78.9,6136,21,42.3,129.8,217.1,188.7,51.5,24.4,3.4,19.1,25.8,66.1,8.9,9.2,31.2,11.2,11.2,5.6,7.7,19,4,5.1,20.2,339.2,15,0.662,0.483,0.695,0.666,54151,8453,6752,11,14,8.85,41.86,31.98,14.73,15.45,9.62,9.25,6.36,5.36,15.61,6.58,16.36,38.60,46.96,7.63,18.07,16.88,54217,36166,10.67,11.19,20.64,36.41,18.95,9.56,90.44,61.44,70.82,20.54,323965,-12.6,11.68,39.94,60.06,18.41,67.27,9.89,2.12,0.35,3.79,1.94,31.61,0.9,1.2,28.29,20.92,2.46,47.72,27.00,0.68,0.42,61.59,9.60,26,44.97,5.01,47.54,72.47,10.59,7.70,39.98
29,North Lawndale ,9,14.2,1.01,21,41.9,88.7,13.6,67.7,186.81,7.76,72.1,14741,23,62.3,129.1,254.7,263.3,72.1,39.5,2.4,36,42.8,85.5,15.4,14.5,44.3,39.6,39.6,10.2,3.7,21.3,8,8.7,31.9,436.7,87,-0.281,-0.519,0.173,0.487,36074,-1925,347,-9,0,4.99,2.21,91.90,0.20,2.51,1.64,14.90,2.56,8.49,34.26,8.44,36.34,70.94,79.72,8.52,47.71,43.08,25492,11937,21.24,48.06,43.07,57.35,36.01,27.58,72.42,9.89,95.49,19.36,186660,-83.1,27.97,24.07,75.93,13.34,55.79,12.21,6.82,0.34,3.15,2.39,50.47,2.8,5.3,45.44,3.26,0.68,55.64,36.65,0.06,2.2,46.11,25.98,52,89.60,26.53,50.49,28.55,20.69,25.61,47.15
30,South Lawndale ,9,6.7,0.42,52,49.9,69.3,10.7,72.7,53.53,6.49,82.2,5438,32,30.5,101.9,147.8,123.7,19.6,9.3,2.4,9.7,22.1,59.8,6.7,3.4,22.1,12.3,12.3,3.9,3.9,5.1,7.9,4.4,12.7,248.2,96,-0.524,-0.567,0.272,0.528,70557,-10091,194,-7,0,84.14,4.34,11.13,0.16,43.84,34.39,8.51,43.97,8.94,28.20,5.61,47.06,28.68,39.45,5.11,52.36,24.05,32855,11024,15.79,29.76,30.68,44.44,14.53,54.85,45.15,5.82,97.72,27.86,175089,-81.1,20.69,35.95,64.05,14.12,50.91,16.77,9.94,0.13,5.85,2.95,42.88,1.9,2.1,21.17,6.87,1.01,74.80,16.16,0.13,2.2,16.37,5.65,33,21.34,3.22,18.25,24.40,36.31,54.15,69.95
31,Lower West Side ,9,5.9,0.46,28,51.8,59.4,7.7,75,28.05,3.90,81.4,6082,31.7,36.3,101.7,160.2,142.3,26,21.5,0.7,14.1,13.8,62,5.1,3.9,30.6,11,11,5.2,5.6,12.4,7.3,1.2,20.1,289.7,76,-0.187,0.024,0.318,0.574,36577,-2264,1277,-5,2,82.16,12.47,3.21,1.00,42.31,30.72,7.78,40.35,8.04,25.20,7.36,30.53,30.34,45.58,5.91,36.41,29.03,37372,18366,15.82,23.08,25.79,38.44,14.86,40.70,59.30,17.79,96.50,27.32,261709,-53.2,14.44,26.81,73.19,15.50,56.16,15.54,4.94,0.20,3.47,2.22,38.07,1.5,3.1,29.83,8.28,3.72,58.55,28.79,0.14,3.5,27.15,5.09,39,21.59,5.47,18.39,35.26,33.14,43.48,69.52
32,Loop ,3,4.9,2.87,3,29.7,0.6,7.7,76.3,10.82,2.42,85,3489,16,25.8,83.5,134,133.1,28.4,16.1,0,13.1,19.3,27.8,11.1,1.3,14.2,1.1,1.1,3,9.1,9.2,1.3,1.9,24,194.6,3,1.069,0.839,0.571,0.645,26363,5994,2709,11,-2,5.51,63.41,11.91,16.55,19.66,12.19,5.30,6.51,3.99,5.80,7.69,7.10,16.54,16.54,5.91,7.34,0.00,78568,57897,5.68,2.52,14.73,4.05,6.48,3.11,96.89,78.84,68.05,7.70,377920,,17.21,42.98,57.02,21.58,65.79,8.70,2.52,0.90,3.33,1.31,27.97,0.4,1.6,43.04,42.94,1.24,30.10,21.78,2.24,0.04,131.71,8.78,0,196.81,6.65,78.46,88.63,6.91,5.69,18.74
33,Near South Side ,3,3.9,0.30,4,32.2,50.9,9.4,79.5,69.44,0.25,80.6,5973,20.7,43.7,107.9,186.1,138.7,37.2,30.5,0,14.9,33.6,60.1,19.1,3,17.4,4.4,4.4,6.7,5.9,8.8,2.5,5.5,28.6,320.2,7,0.921,0.810,0.663,0.651,20245,9357,3224,13,13,6.22,45.16,27.59,18.24,19.46,10.96,8.75,6.50,6.51,12.64,9.18,14.79,22.55,31.47,10.06,15.52,6.28,59416,54736,4.93,7.68,13.81,15.55,11.12,7.42,92.58,67.21,63.98,14.94,358633,,15.58,49.59,50.41,18.84,72.28,6.54,0.85,0.51,1.75,0.36,37.27,0.6,1.8,23.33,7.68,3.12,54.74,32.08,0.67,0.05,34.88,3.93,2,17.34,1.08,22.76,81.85,7.16,6.72,36.39
34,Armour Square ,7,1.8,1.81,1,30.6,13.2,10.7,80,39.68,1.09,81.9,4648,14.8,38.2,73.3,122.7,169.5,53.2,14.9,3.4,27.1,10.7,35.6,5,1.1,17.6,4.7,4.7,6.9,2.2,3.7,0,3.3,35,255.6,82,0.362,0.205,0.477,0.531,13710,1994,105,-1,2,4.70,11.21,12.25,67.81,53.01,27.19,11.40,47.15,3.96,17.21,21.09,22.75,29.29,33.88,19.33,25.71,38.23,21324,15039,16.75,24.43,40.06,37.00,20.00,34.54,65.46,20.95,89.74,,211020,,6.62,35.16,64.84,11.12,57.36,15.19,8.47,0.07,1.72,1.25,32.79,0.5,0.8,41.56,11.89,0.43,56.84,29.61,0.14,0.84,38.16,8.59,1,49.59,3.45,28.46,36.73,31.29,41.24,70.58
35,Douglas ,7,8.3,0.84,12,40.8,36.5,11.2,73.5,86.96,1.15,74.1,11164,24.2,63.3,190.2,289,226.3,66.2,30.8,0.9,21.8,69.8,90.1,27.8,27.4,34.2,18.1,18.1,9.2,4.4,18.4,5.8,6.6,24.4,485.7,47,-0.351,0.014,0.461,0.576,19111,-3670,230,-1,5,2.98,11.88,71.68,12.29,16.71,13.79,14.07,8.25,5.21,15.96,14.69,18.42,63.60,73.77,16.65,20.25,13.72,30547,22489,18.16,23.14,29.59,42.62,32.33,14.27,85.73,38.91,90.90,26.47,227510,-61.2,16.19,20.78,79.22,17.05,56.94,15.54,5.09,1.50,3.35,0.50,37.27,1.7,1.1,36.54,14.34,0.32,55.88,28.90,0.16,0.32,40.08,13.82,10,116.99,6.80,102.68,60.08,14.42,13.96,46.07
36,Oakland ,7,11.8,0.39,3,36.9,47.2,,73.5,161.42,1.79,73.6,10054,25.6,35.9,121,222.9,211.3,51.8,26.9,3.6,9,56.8,97,21.1,18.2,28.3,13.4,13.4,6.4,3.2,17.4,0,3.7,49.6,387.4,78,-0.643,-0.241,0.142,0.529,6260,332,37,-9,-2,3.66,2.88,92.16,0.91,5.35,3.51,16.90,3.69,8.12,29.63,10.81,35.95,69.88,72.21,12.32,41.45,14.00,21097,16369,28.70,37.88,39.74,42.94,40.03,18.38,81.62,24.60,73.72,,235067,,10.85,22.31,77.69,12.18,69.96,9.19,5.36,0.47,4.45,0.00,42.98,2.3,1.6,42.76,2.45,0.36,54.19,41.97,0.00,0,29.40,10.31,8,67.07,6.54,26.72,42.00,16.18,13.14,53.69
37,Fuller Park ,7,17.8,2.15,0,42.7,54.3,13,67.4,147.29,14.95,69.8,18526,27.7,92.3,249.8,400.7,256.1,56.7,26.1,5.1,41.8,28,103.8,11.9,9.8,53.6,52.3,52.3,18.3,6.3,13.8,5.1,25.1,44.3,607.2,97,0.002,-0.848,0.174,0.428,2924,-308,-33,-11,0,5.40,2.26,91.59,0.38,5.44,4.96,24.25,4.20,7.08,28.76,16.11,28.18,60.68,73.37,23.56,34.64,30.34,15930,10409,33.88,48.08,51.22,41.20,56.40,26.64,73.36,12.06,97.42,0.00,115050,,26.63,32.98,67.02,10.30,53.32,14.31,10.21,1.05,6.98,0.00,49.48,2.9,8.4,52.62,8.02,0.00,50.15,38.58,0.00,1.08,84.14,34.08,12,137.83,8.44,81.58,31.70,20.38,25.66,44.62
38,Grand Boulevard ,7,10.5,1.36,10,39.2,50.2,14.9,77.3,155.25,3.61,74.1,12613,22.7,52.1,160.5,293.5,220.5,69,30,3.4,21,29.1,85.1,10.7,14.3,37.4,34.1,34.1,13.3,7.1,16.8,9.8,10.3,23.8,450.4,57,-0.422,-0.361,0.178,0.576,23151,-1922,766,-9,0,3.01,4.08,91.10,0.32,2.59,1.36,16.55,1.61,8.39,26.91,12.57,26.78,65.29,75.58,18.30,31.66,26.47,28758,19530,24.26,32.45,29.29,40.41,35.82,15.92,84.08,26.41,88.73,14.58,182140,-40.9,19.25,28.01,71.99,11.88,66.96,12.32,3.55,0.46,3.85,1.02,41.16,3.7,4.6,40.67,3.20,0.14,61.70,33.93,0.09,0.67,43.60,16.87,33,66.07,8.06,56.94,45.78,17.74,17.17,55.93
39,Kenwood ,7,9.8,1.05,5,34.3,45.5,13.4,76.7,93.07,2.09,80.5,8689,18.5,27.4,105.8,167.6,200.3,47.9,41,0.8,28.2,50,52.3,7.9,7.5,17.6,17.9,17.9,5.5,5.9,3.7,2.3,4.7,15.1,304.2,26,0.011,0.271,0.477,0.623,18180,27,125,1,0,4.12,17.38,70.63,5.86,11.88,7.52,13.03,4.10,6.42,20.32,15.10,20.06,50.96,54.57,13.79,22.81,8.31,42113,36896,15.72,17.13,21.71,38.00,25.27,11.31,88.69,48.48,77.70,14.79,343000,3.6,14.28,31.32,68.68,12.85,59.82,14.82,7.34,1.74,1.35,0.63,41.19,1.9,1.8,37.03,7.17,1.89,49.89,40.10,0.11,0,31.00,7.62,6,25.14,1.98,35.88,62.26,12.37,13.52,51.96
40,Washington Park ,7,20.3,0.78,3,37.3,78.3,12.6,68,143.07,3.28,68.9,17070,21.9,52.9,170.3,367,289.3,93.7,25.9,13,35.7,68.6,85.9,9.1,32.4,46.1,55.3,55.3,7,9.5,23.9,3.6,8.1,20.1,496.2,88,-0.508,-0.569,0.056,0.477,11146,-1755,197,-9,0,1.18,0.18,97.63,0.08,1.01,0.47,18.03,1.23,8.90,33.77,8.99,33.29,80.71,89.49,11.88,43.99,35.03,26332,14412,28.58,51.30,42.06,57.35,36.40,25.40,74.60,14.94,88.22,35.38,178633,,26.39,20.11,79.89,18.88,59.49,12.51,5.41,1.88,5.55,0.97,50.51,3.1,6.5,48.94,2.30,0.00,53.37,43.57,0.00,0.74,64.86,29.44,27,93.86,10.82,70.71,26.91,17.84,25.24,40.75
41,Hyde Park ,7,12.6,0.80,6,34.1,9,9.7,81.4,23.70,1.31,82.3,4692,18.1,24.1,84.5,138.1,160.8,36.7,35.8,2.6,9.9,27.5,33.9,14.7,5.1,15.8,4.1,4.1,5.3,4.7,5.6,3.9,3.5,20.3,226.3,14,0.319,0.392,0.654,0.645,26541,-2892,-1142,7,0,5.95,46.89,33.35,10.73,17.11,11.11,9.79,5.99,4.66,13.36,12.81,17.29,32.47,35.15,12.07,18.07,7.24,53314,38319,8.42,8.21,18.35,18.99,18.07,4.28,95.72,69.52,64.88,,273642,-29.6,15.41,37.24,62.76,18.31,53.67,16.25,5.44,1.52,1.84,1.04,36.18,0.7,1.4,34.12,29.19,5.91,33.49,30.23,0.19,0.11,25.74,4.67,2,19.63,1.00,24.29,82.16,8.19,8.09,34.71
42,Woodlawn ,7,14.9,0.95,11,38.4,56,13.4,71.7,107.04,5.21,74.5,12111,21.2,48.1,167.7,289,228.3,68.6,29.7,1.6,21.9,59.8,95.4,16.8,10.4,38.8,30.5,30.5,9.3,5.5,20.2,9.3,5.7,29.1,471.4,58,-0.156,-0.149,0.264,0.526,24445,97,558,-11,0,2.22,6.85,87.06,2.23,4.64,2.95,15.33,1.95,6.41,24.57,11.55,22.26,67.47,73.27,13.29,27.88,30.61,26027,17603,23.37,31.28,30.67,42.49,27.93,16.52,83.48,24.79,92.55,37.93,184418,-83.6,26.38,24.53,75.47,13.35,61.25,12.88,4.93,2.23,4.43,1.18,44.39,2.9,7.6,42.70,9.87,0.69,55.22,32.94,0.12,0.93,38.06,16.24,36,81.91,3.74,58.30,43.38,18.39,21.38,45.53
43,South Shore ,7,10,0.87,20,41.4,66.7,13.3,65.1,107.48,5.30,72.5,14034,24,52.2,153.5,289.3,226.3,63.2,31.8,2.3,23.4,41.5,92.1,18.7,16.1,35.5,31.4,31.4,9.5,3.6,16.4,3.9,7.4,32,459.4,55,-0.244,-0.042,0.106,0.544,47526,-7790,-87,-11,0,1.44,1.51,94.44,0.21,3.07,1.74,16.66,1.76,6.68,23.49,12.25,22.14,69.22,78.63,13.54,27.83,33.84,31706,19399,19.96,32.19,31.08,40.80,33.93,13.99,86.01,22.78,94.01,,192607,-68.4,24.20,23.89,76.11,14.05,56.47,13.36,5.50,1.36,2.71,1.02,43.32,2.7,5.9,38.62,2.32,1.07,57.18,37.66,0.00,0.58,49.39,18.57,69,44.46,6.45,44.88,44.57,21.04,25.29,50.79
44,Chatham ,8,12.4,0.82,15,42.6,71.7,13.5,67.3,116.68,4.94,74,13520,25.1,37.9,127,225.4,218.6,49.7,36.9,1.5,19,53.6,74.7,15.8,11.4,33.3,43.7,43.7,3.6,7.2,12.7,5.6,7.7,18.6,392.8,60,0.197,0.036,0.042,0.563,33244,-2347,-192,-11,-4,0.48,0.54,97.51,0.07,0.76,0.22,16.77,0.55,6.83,24.90,15.38,23.37,70.02,76.12,13.74,30.98,36.54,33550,18910,24.01,30.12,27.81,42.60,37.93,14.51,85.49,22.25,85.73,18.77,154020,-67.6,17.28,36.85,63.15,9.28,52.57,13.10,7.43,0.94,1.22,0.91,42.76,2.4,4.8,32.91,1.67,0.00,60.39,37.53,0.13,1.38,67.39,18.95,27,78.19,7.41,64.23,46.48,17.77,16.37,58.26
45,Avalon Park,8,10.8,0.73,2,43.5,38.1,11.1,69.4,88.83,5.96,74.7,10998,26.5,46.1,110.2,212.4,214.5,41.6,23.1,7.5,20.2,42.5,85,7.1,0,27.6,20.1,20.1,9.4,1.2,5.2,0,12,17.5,369.6,41,0.293,0.073,0.065,0.639,9617,-591,-241,-5,-4,0.30,1.75,96.66,0.35,1.76,1.15,14.57,1.06,3.69,19.92,19.41,24.83,49.32,64.31,13.82,29.99,31.53,42953,24426,21.09,26.97,17.20,34.51,29.69,10.60,89.40,23.40,97.23,30.88,171550,-71.8,12.14,67.48,32.52,7.21,35.60,16.95,12.01,0.21,2.12,0.00,36.45,2.4,3.4,19.06,0.99,0.00,74.18,23.59,0.10,1.69,44.67,17.97,13,103.48,13.38,69.13,56.08,17.16,16.62,59.98
46,South Chicago ,8,13.9,0.70,15,40.1,84.3,11.8,69.5,92.22,7.71,72.7,12924,22.3,43.5,137.6,257.4,225.6,48.6,37.4,5.4,22.9,44.4,89.4,10.9,14.6,34.5,35.9,35.9,5.7,4.2,13.3,4.4,8,23.2,430.4,75,-0.619,-0.303,0.410,0.543,29458,-3774,-188,-11,0,23.63,3.15,71.99,0.63,12.35,8.63,15.65,11.10,7.16,28.12,12.96,28.24,51.92,64.29,11.72,34.74,39.79,28360,15311,19.73,32.33,29.77,49.27,31.50,26.61,73.39,15.06,95.45,20.07,133310,-82.2,25.52,41.52,58.48,10.91,47.21,16.43,10.32,0.50,1.33,0.77,38.49,2.8,9.7,31.39,3.12,0.11,65.35,29.69,0.03,1.25,37.89,16.73,53,51.85,6.62,49.83,37.96,19.79,25.20,39.76
47,Burnside ,8,17.2,0.50,0,44.1,105.3,17.1,65.9,105.26,7.81,71.9,13950,27.1,85.6,129.8,227.4,227.1,70.5,0,7.1,29.1,19.8,69.6,5.1,0,20.9,86.2,86.2,0,6.4,14.2,0,0,28.5,417.4,79,0.245,-0.251,0.013,0.473,3508,355,-75,-9,-2,0.00,0.57,99.43,0.00,2.85,1.23,15.22,0.75,5.53,29.87,12.83,21.97,81.03,90.95,19.70,36.27,104.31,27500,12515,18.55,35.61,33.05,73.09,45.06,19.31,80.69,9.29,96.22,,132300,,16.46,54.92,45.08,4.64,42.99,13.64,10.23,0.00,0.00,3.50,41.48,3.1,5.4,38.73,0.00,0.00,65.57,34.43,0.35,2.67,38.75,13.03,2,71.61,13.82,43.97,35.95,22.38,25.51,66.67
48,Calumet Heights ,8,12,0.74,1,39.3,42,15,68.5,119.47,2.52,77.1,10462,23.6,48.9,104.4,214.3,204.4,42.3,29.2,1.8,33.9,61.1,89.2,24,12.1,27.7,23.2,23.2,8.7,2,5.8,0,3.2,17.4,373.9,38,0.078,-0.001,0.140,0.617,14382,-699,-237,1,-4,4.18,1.36,93.78,0.10,5.25,2.60,16.37,1.88,4.34,20.94,23.08,21.88,43.62,48.94,16.04,30.27,43.86,53311,27402,20.02,16.24,11.48,22.80,31.62,11.00,89.00,28.43,86.38,,171240,-62.1,9.19,78.36,21.64,7.63,27.05,14.97,10.08,0.36,1.36,0.27,28.50,1.9,3.2,13.75,0.90,0.00,73.32,25.12,0.00,1.75,41.05,9.92,10,19.59,2.14,33.12,61.01,13.23,12.61,52.55
49,Roseland ,8,11.9,0.62,13,40.3,69,14.4,67.3,94.29,5.93,72.9,14246,24.3,55,150.8,267.3,248.6,66.8,38.7,4,31,67.1,89.9,24.4,8.1,26.1,42.1,42.1,6,4.2,12.4,4.2,11.4,32.4,428.1,52,-0.087,-0.246,0.072,0.583,45285,-2766,-106,-9,-2,0.79,1.11,96.24,0.48,1.56,0.74,18.12,0.60,5.45,24.18,17.00,26.32,56.31,65.47,12.05,34.73,47.92,39467,18801,20.27,27.15,19.83,34.75,34.60,16.87,83.13,17.20,92.10,34.20,139357,-78.1,15.22,57.30,42.70,6.81,40.29,14.70,7.70,0.21,2.15,0.61,38.46,2.8,5,23.34,2.51,0.12,69.92,26.96,0.00,1.78,41.57,16.18,68,64.04,9.30,51.14,47.72,18.53,21.36,52.37
50,Pullman ,8,9.1,0.18,4,38.3,40,12.1,75.7,69.09,7.07,76.4,10377,21.9,53.3,155.5,240.9,253.7,53.1,59.3,2.5,31,85,77.6,17.2,2,28.1,25,25,10,7.5,11.7,2,7.2,37,434.1,51,-0.102,-0.308,0.325,0.555,7262,-882,13,-9,0,7.56,7.19,84.43,0.54,3.39,2.23,13.59,4.20,8.55,23.42,15.13,23.16,60.06,76.56,10.72,30.76,50.36,38692,20483,22.77,25.80,21.65,45.20,34.47,13.11,86.89,20.23,89.40,39.78,129400,-71.0,15.18,46.15,53.85,4.73,41.25,17.66,9.01,0.37,0.37,0.00,30.73,2.1,6.2,24.06,3.18,0.00,66.60,30.21,0.14,1.35,51.33,13.11,6,133.30,7.49,62.10,46.25,16.04,19.42,43.08
