CommunityArea,Region,Total Population,"Change in Population, 2000-2010 (%)",Hispanic (%),Non-Hispanic Black (%),Non-Hispanic White (%),Asian (%),Other or Multiple Races (%),"Children with All Parents in Labor Force, 0-5 (%)","Children with All Parents in Labor Force, 6-17 (%)","Children in Poverty, 0-5 (%)","Children in Poverty, 6-17 (%)","Children below 185% of Poverty Line, 0-5 (%)","Children below 185% of Poverty Line, 6-17 (%)","Hardship Index, 2010",Childhood Opportunity Index,Gentrification Index 2000 to 2010,Life Expectancy at Birth 2010,Change in 25-34 w College Degree 2000 - 2011,Low Birth Weight Rate (%) 2009,"Infant Mortality Rate (Per 1,000 Live Births) 2010",Owner-Occupied housing % 2012,College Education % 2012,Families in poverty % 2012,"% Households with SNAP Benefits, 2011",Unemployment Rate 2011 (%),Stroke,CHD,Heart Failure,Cancer,Lung Cancer,Diabetes,Homicide,Unintentional Injury,Premature Mortality Rate (YPLL 2011),Premature Diabetes Mortality Rate (YPLL 2011)
Austin,9,98514,-16.2,9,85,4,1,1,74,78,41,38,64,63,73,0.524927,-2,71.9,44,15.4,13.3,40,11,26,32.22,22.14,56.2,157.8,277.1,255.7,69.3,107.4,34.8,43,14121,817
West Garfield Park,9,18001,-21.8,2,96,1,0,1,52,60,49,50,67,81,92,0.19303,0,68.8,22,17,19,28,7,42,37.50,25.58,63,183.7,319.8,267.3,71.1,110.5,47.8,72.9,17868,758
East Garfield Park,9,20567,-1.5,4,91,3,0,1,53,76,69,47,81,69,83,0.71244,1,71.7,240,17.5,11,25,14,42,43.39,18.15,45.6,166.4,285.4,238.7,57.9,112.8,35.2,47.5,15153,938
Near West Side,9,54881,18.2,9,32,42,15,3,64,76,27,38,41,55,15,1.540762,14,78.9,"6,752",9,9.1,40,61,15,10.46,10.15,42.3,129.8,217.1,188.7,51.5,66.1,11.2,31.2,6136,289
North Lawndale,9,35912,-14,6,91,1,0,1,55,63,58,54,82,76,87,0.5333035,0,72.1,347,15.3,14.1,25,10,42,44.46,17.63,62.3,129.1,254.7,263.3,72.1,85.5,39.6,44.3,14741,677
South Lawndale,9,79288,-12.9,83,13,4,0,0,48,53,38,39,71,67,96,0.451626,0,82.2,194,7.6,5.9,33,6,31,27.77,14.31,30.5,101.9,147.8,123.7,19.6,59.8,12.3,22.1,5438,269
Lower West Side,9,35769,-18.8,82,3,12,1,1,46,56,45,43,71,75,76,1.1007295,2,81.4,"1,277",4.5,5.4,24,18,25,20.35,14.08,36.3,101.7,160.2,142.3,26,62,11,30.6,6082,365
Loop,3,29283,78.7,7,11,63,16,3,66,58,0,11,9,11,3,1.9202035,-2,85,"2,709",5.3,5.7,41,79,5,2.80,4.79,25.8,83.5,134,133.1,28.4,27.8,1.1,14.2,3489,146
Near South Side,3,21390,124.9,6,28,48,15,3,68,71,16,41,17,52,7,1.9036915,13,80.6,"3,224",8.8,4.8,50,67,8,7.62,5.06,43.7,107.9,186.1,138.7,37.2,60.1,4.4,17.4,5973,290
Armour Square,7,13391,11.3,3,11,12,73,1,89,79,28,16,62,41,82,1.2717625,2,81.9,105,12.4,1.5,34,21,34,20.17,13.14,38.2,73.3,122.7,169.5,53.2,35.6,4.7,17.6,4648,257
Douglas,7,18238,-31.1,3,73,10,13,2,71,69,42,39,57,63,47,0.897246,5,74.1,230,11.7,13.4,21,39,25,22.41,17.09,63.3,190.2,289,226.3,66.2,90.1,18.1,34.2,11164,770
Oakland,7,5918,-3.1,1,94,2,1,2,89,93,42,40,68,83,78,0.6479025,-2,73.6,37,13.5,8.2,20,25,39,35.27,29.77,35.9,121,222.9,211.3,51.8,97,13.4,28.3,10054,741
Fuller Park,7,2876,-15.9,5,92,2,0,1,100,98,77,87,79,87,97,0,0,69.8,-33,17.1,22.6,29,12,31,53.10,34.15,92.3,249.8,400.7,256.1,56.7,103.8,52.3,53.6,18526,1329
Grand Boulevard,7,21929,-21.7,2,94,2,0,2,85,85,30,55,50,63,57,0.5923495,0,74.1,766,12.7,12.1,26,26,28,32.07,22.15,52.1,160.5,293.5,220.5,69,85.1,34.1,37.4,12613,693
Kenwood,7,17841,-2.8,3,72,16,5,3,69,79,43,48,55,59,26,1.1232955,0,80.5,125,11.4,8.9,32,48,19,15.65,11.71,27.4,105.8,167.6,200.3,47.9,52.3,17.9,17.6,8689,481
Washington Park,7,11717,-17.2,1,97,1,0,1,65,74,76,64,87,90,88,0.3519835,0,68.9,197,17.7,19.3,17,15,44,48.22,24.60,52.9,170.3,367,289.3,93.7,85.9,55.3,46.1,17070,989
Hyde Park,7,25681,-14.2,6,30,47,12,4,66,74,15,19,27,21,14,1.398975,0,82.3,"-1,142",5.9,10.4,36,70,11,7.68,8.01,24.1,84.5,138.1,160.8,36.7,33.9,4.1,15.8,4692,308
Woodlawn,7,25983,-4.1,2,87,7,2,2,77,73,45,40,62,67,58,0.8910425,0,74.5,558,17.4,11.5,25,25,27,27.78,21.67,48.1,167.7,289,228.3,68.6,95.4,30.5,38.8,12111,801
South Shore,7,49767,-19.2,2,95,1,0,2,80,76,47,50,66,71,55,0.8256015,0,72.5,-87,13.8,11.4,24,23,25,31.10,18.56,52.2,153.5,289.3,226.3,63.2,92.1,31.4,35.5,14034,855
Chatham,8,31028,-16.8,1,97,0,0,1,89,81,40,35,61,54,60,0.9275635,-4,74,-192,15.4,10.9,39,22,25,27.43,22.24,37.9,127,225.4,218.6,49.7,74.7,43.7,33.3,13520,696
Avalon Park,8,10185,-8.6,2,96,1,0,2,74,71,41,44,58,56,41,0.982944,-4,74.7,-241,19.7,11.4,71,23,16,23.97,16.07,46.1,110.2,212.4,214.5,41.6,85,20.1,27.6,10998,733
South Chicago,8,31198,-19.2,22,75,2,0,1,64,70,54,40,82,63,75,0.508444,0,72.7,-188,13,17.7,40,15,28,30.56,17.32,43.5,137.6,257.4,225.6,48.6,89.4,35.9,34.5,12924,814
Burnside,8,2916,-11.5,1,98,1,0,1,67,73,73,56,80,86,79,0.7281995,-2,71.9,-75,7.9,13,51,9,33,29.27,19.55,85.6,129.8,227.4,227.1,70.5,69.6,86.2,20.9,13950,680
Calumet Heights,8,13812,-13.5,4,93,1,0,1,75,63,39,31,48,48,38,0.9520065,-4,77.1,-237,9.3,13.9,76,28,10,15.20,19.98,48.9,104.4,214.3,204.4,42.3,89.2,23.2,27.7,10462,1136
Roseland,8,44619,-15.4,1,97,0,0,1,73,72,46,41,67,60,52,0.7430995,-2,72.9,-106,12.2,9.6,57,17,19,26.33,18.64,55,150.8,267.3,248.6,66.8,89.9,42.1,26.1,14246,816
Pullman,8,7325,-17.9,8,84,7,0,1,70,79,41,46,56,59,51,0.7488395,0,76.4,13,11.2,13.6,47,20,24,22.40,19.39,53.3,155.5,240.9,253.7,53.1,77.6,25,28.1,10377,633
South Deering,8,15109,-11.1,32,62,5,0,1,49,53,33,35,51,61,65,0.6490165,0,76.2,-96,14.9,11.8,62,12,29,21.78,12.79,62.3,125.7,222.4,209.5,63.3,72.6,25,26.4,11692,767
East Side,8,23042,-2.6,78,3,17,0,1,45,51,20,29,62,64,64,0.731679,-2,78.4,64,6.4,3.7,68,12,22,16.38,12.71,30.2,112.4,188.5,170.3,37.8,67.6,7,32.7,5975,283
West Pullman,8,29640,-19.1,5,93,1,0,1,66,69,47,39,69,70,62,0.7359985,-2,71.6,4,14.9,11.9,64,15,24,25.78,17.82,56.7,162.9,302.5,251.9,76.8,93.1,39.6,37.5,14460,959
Riverdale,8,6482,-33.9,2,96,0,0,1,54,69,78,69,100,92,98,0.265394,0,76.4,-13,15.3,8.7,12,8,55,63.53,34.83,63.6,120,200.9,204,55.2,137.2,35.4,31.2,11545,1301
Hegewisch,8,9426,-3.6,50,4,45,1,1,68,74,20,23,40,42,44,0.838062,-6,77.1,164,7.7,8.4,75,19,16,12.17,11.44,40.4,121.4,207.3,227.1,64.6,49.1,9.2,23.7,7704,315
Garfield Ridge,6,34513,-4.4,39,6,53,1,1,59,68,19,17,27,36,32,0.8904245,-6,79.8,454,8,4.5,82,19,6,7.27,10.37,42.8,170.9,239.5,213.4,56.3,70.6,9.3,28.1,7820,358
Archer Heights,6,13393,5.9,76,1,21,1,1,59,66,16,19,55,49,67,0.6583715,-6,79.5,-46,8.7,5.2,58,9,12,14.01,17.34,52.4,162.4,222.6,149.5,31.6,64.6,12.5,37.7,5791,256
Brighton Park,6,45368,1,85,1,8,5,0,48,58,34,32,65,67,84,0.6230735,-4,80.8,433,7.2,5.9,44,9,23,21.13,12.86,33.7,136,190.6,135.8,27.1,59.5,11.7,21.8,5445,222
McKinley Park,6,15612,-2.2,65,1,17,16,1,54,63,25,23,61,49,61,0.9943215,0,80.4,45,7.3,7.3,51,14,18,12.69,13.42,48.4,150.8,206.4,146.7,43.2,44.1,8,26.8,6284,377
Bridgeport,7,31977,-5.1,27,2,35,35,1,61,71,19,21,46,54,43,1.304401,6,80.2,628,8,8,42,24,17,13.00,13.77,31.5,133.8,198.8,185.8,62.9,47.4,5.3,27.7,6439,427
New City,6,44377,-14.2,57,30,11,2,1,46,50,44,50,75,77,91,0.2243995,-2,74.4,116,11.8,7.9,37,8,28,33.59,19.76,40,161.5,272.1,203.1,71.7,91.3,27.7,33.7,9727,468
